Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-1,15.78,192.144,172.93,35.37,15.1,33.77,0.3,0.085,0.385,0.316,32.18,1.91,30.27
DO-2,13.93,136.275,122.65,26.95,19.46,21.55,0.345,0.158,0.503,0.33,32.1,4.37,27.73
DO-3,15.78,159.708,143.74,31.89,27.91,24.9,0.682,0.267,0.949,0.513,70.13,10.41,59.72
DO-4,15.23,182.498,164.25,34.89,21,34.71,0.319,0.129,0.449,0.444,37.72,4.24,33.48
DO-5,14.53,164.481,148.03,33.7,28.25,33.7,0.065,0.192,0.257,0.257,21.11,10.76,10.36
DO-6,14.43,152.77,137.49,25.51,20.18,25.51,0.129,0.152,0.281,0.281,16.82,4.13,12.68
DO-7,14.68,151.276,136.15,29.56,26.27,28.14,0.125,0.194,0.319,0.292,25.1,7.68,17.42
DO-8,14.48,122.267,110.04,27.52,22.92,23.6,0.429,0.213,0.642,0.399,68.79,7.08,61.72
DO-9,15.23,183.833,165.45,45.51,38.95,45.03,0.061,0.237,0.298,0.294,27.47,14.13,13.34
DO-10,15.13,172.422,155.18,30.59,18.48,30.59,0.264,0.121,0.385,0.385,28.07,3.25,24.81
DO-11,15.03,99.09,89.18,29.87,29.42,18.34,0.155,0.332,0.486,0.323,33.13,14.91,18.22
DO-12,14.43,174.968,157.47,35.59,30.88,34.8,0.118,0.218,0.336,0.312,26.65,9.78,16.87
DO-13,14.23,138.683,124.81,27.9,19.6,26.75,0.299,0.154,0.453,0.333,56.96,4.7,52.26
DO-14,13.53,149.855,134.87,34.98,15.72,34.98,0.274,0.116,0.389,0.389,43.16,2.57,40.59
DO-15,14.03,169.784,152.81,30.79,22.44,30.66,0.133,0.148,0.28,0.278,18.62,5.09,13.52
DO-16,14.93,165.875,149.29,34.82,16.93,34.82,0.174,0.113,0.288,0.288,20.81,2.93,17.88
DO-17,15.03,202.563,182.31,42.32,23.83,42.31,0.262,0.129,0.391,0.39,37.02,4.63,32.39
DO-18,14.68,149.841,134.86,29.11,24.4,29.08,0.136,0.179,0.315,0.313,21.15,6.73,14.42
DO-19,15.78,234.771,211.29,41.58,27.74,39.88,0.266,0.132,0.398,0.369,38.47,5.09,33.38
DO-20,15.13,171.596,154.44,36.7,21.91,36.7,0.144,0.143,0.287,0.287,21.55,4.9,16.64
DO-21,16.28,201.328,181.19,28.01,22.12,27.82,0.058,0.124,0.183,0.182,10.65,4.04,6.61
DO-22,14,168.425,151.58,33.29,19.06,32.84,0.132,0.127,0.26,0.258,17.66,3.59,14.06
DO-23,14.83,98.979,89.08,21.02,20.08,16.48,0.131,0.272,0.403,0.278,16.82,7.05,9.78
DO-24,15.73,178.934,161.04,25.59,12.65,25.44,0.156,0.083,0.239,0.231,13.35,1.45,11.89
DO-25,13.68,142.997,128.7,32.7,25.03,30.1,0.323,0.193,0.515,0.383,41.78,6.73,35.05
DO-26,14.68,256.896,231.21,58.17,52.19,42.21,0.263,0.247,0.51,0.328,77.68,18.54,59.14
DO-27,14.13,150.898,135.81,25.99,18.84,22.62,0.382,0.138,0.52,0.352,47.69,4.06,43.62
DO-28,14.63,157.649,141.88,29.88,26.42,21.04,0.228,0.191,0.419,0.266,46.06,9.35,36.71
DO-29,14.73,171.638,154.47,28.15,19.03,27.57,0.114,0.12,0.235,0.228,14.6,3.74,10.85
DO-30,15.43,174.119,156.71,24.44,19.88,23.9,0.047,0.126,0.173,0.172,8.58,3.76,4.82
DO-31,15.53,156.294,140.66,26.44,14.43,25.72,0.464,0.099,0.563,0.551,39.38,2.32,37.07
