Sac date,Mouse ID,Coat Color,time sacrificed,Sex,DOB,Age at Sac (days),Body Weight,Nose-Anal Length,Glucose,RFP mg,GFP mg,BFP mg,FFP mg,Adiposity (RFP+GFP+FFP/BW),Comments,Soleus mg,Gastroc mg,FL,ML,AP,Generation
8/23/16,1,agouti,1:37,M,5/31/16,84,30,9.8,73,130.7,538.4,173.5,455,3.75,fasted in lab,14.9,154,16.39,1.46,1.25,G23
8/23/16,2,agouti,2:15,M,5/31/16,84,21.6,8.6,76,0,340,77.4,203.8,2.52,fasted in lab,9.6,102.2,14.73,1.34,1.16,G23
8/24/16,3,agouti,1:45,M,5/31/16,85,32.4,9.5,102,139.3,751.3,84.8,465.2,4.18,fasted in lab,4.7,159.99,16.12,1.83,1.33,G23
8/25/16,4,agouti,9:45,M,5/31/16,86,26,9.5,77,59.3,403.6,54.6,242.8,2.71,fasted in lab,10.3,123.2,15.89,1.65,1.23,G23
8/25/16,5,agouti,10.23,M,5/31/16,86,35.6,9.5,220,239.7,1911.8,243.9,1049.5,8.99,fasted in lab,9.3,181.7,15.23,1.89,1.33,G23
8/25/16,6,agouti,10.56,M,5/31/16,86,23.3,9.3,88,67.2,433.9,45.3,193,2.98,fasted in lab,5.4,97.6,15,1.55,1.25,G23
8/25/16,7,white,11:30,M,5/31/16,86,21.4,9.2,86,33.9,246,51,162.8,2.07,fasted in lab,5.5,98.1,15.22,1.63,1.25,G23
8/26/16,8,agouti,8:50,M,5/31/16,87,26.1,9.5,124,166.2,668.8,209.9,820.6,6.34,fasted in lab,4.3,147.8,14.98,1.41,1.23,G23
8/26/16,9,agouti,9:30,M,5/31/16,87,32.4,10,150,30,784.4,90.9,526,4.14,fasted in lab,7,142.2,16.12,1.81,1.41,G23
8/26/16,10,white,10:00,M,5/31/16,87,30.9,10.3,78,97.9,714.6,33.8,320.6,3.67,fasted in lab,6.7,162.1,15.94,1.65,1.23,G23
8/26/16,11,black,10:30,M,5/31/16,87,25.9,9.8,136,47,389.1,52.6,266.9,2.71,fasted in lab,5.4,109.2,15.49,1.49,1.18,G23
8/26/16,12,agouti,11:00,M,5/31/16,87,27.4,9.7,83,223.1,520,138.8,600.4,4.90,fasted in lab,5.7,107.3,15.14,1.56,1.2,G23
8/26/16,13,black,11:40,M,5/31/16,87,26.2,9.7,110,187.5,703.1,66.5,851.7,6.65,fasted in lab,4.8,92.5,14.34,1.42,1.11,G23
8/26/16,14,agouti,12:15,M,5/31/16,87,16.2,9.1,43,11.8,662,72,146.4,5.06,fasted in lab,10,81.2,14.18,1.33,1.07,G23
