sample #,VOI1,VOI2,VOI3,VOI4,
1,0.0725,0.052,0.0136,0.0034,
2,0.003,0.0026,0.0012,0,
3,0.0015,0.0001,0.0006,0,
4,0.0122,0.0252,0.0073,0.0086,
5,0.3079,0.0506,0.0283,0.0226,
6,0.0093,0.0317,0.0099,0.0045,
7,0.0076,0.0008,0.0006,0.0681,
8,0.2045,0.2831,0.1732,0.1,
9,0.0088,0.0003,0,0,
10,0.0031,0.0037,0,0.0083,
11,0.0952,0.1247,0.0621,0.0387,
12,0.0125,0.0041,0.0107,0.0062,
13,0.4728,0.4086,0.3778,0.2842,
14,0.0012,0.0052,0.0006,0.0011,
15,0.2264,0.3493,0.1736,0.1411,
16,0.0002,0.0003,0,0,
17,0.0327,0.0623,0.038,0.0202,
18,0.0514,0.0093,0.0003,0.0001,
19,0.0008,0.0012,0,0,
20,0.002,0.0362,0.0011,0.0001,
21,0.0027,0.0003,0,0,
22,0.5242,0.0823,0.89,0.0762,
23,0.5139,0.0178,0.1184,0.3822,
24,0.4622,0.1816,0.3772,0,
25,0.586,0.4223,0.5255,0.071,
26,0.5163,0.201,0.3679,0.5683,
27,0.5343,0.7066,0.7058,0.17,
28,0.4182,0.1358,0.3941,0.4197,
29,0.0516,0.2207,0.0684,0.0412,
30,0.0002,0,0,0,
31,0.0574,0.0721,0.0351,0.0375,
32,0.0077,0.0018,0.0004,0,
33,0.0027,0.0736,0.0042,0.0004,
34,0.0092,0.1821,0.1417,0.06,
35,0.0226,0.1325,0.112,0.0498,
36,0.0064,0.0025,0.0004,0.0002,
37,0.0012,0.0001,0.001,0.0008,
38,0.0219,0.0042,0.0115,0.0155,
39,0.0434,0.0364,0.0081,0.005,
40,0.0042,0.0001,0,0.0001,
41,0.0272,0.028,0.0093,0.0039,
42,0.0009,0.0021,0.0019,0.0007,
43,0.1062,0.441,0.3152,0.1619,
44,0.0016,0.0002,0,0,
45,0.0019,0.0001,0.0002,0,
46,0.0167,0.0378,0.0044,*,*not present--specimen cut short
47,0,0.017,0,0,
48,0.0142,0.1135,0.1069,0.2788,
49,0.0011,0.0005,0,0.0001,
50,0.3359,0.5324,0.5252,0.4479,
51,0.3499,0.2097,0.0479,0.2235,
52,0.5,0.3104,0.177,0.333,
53,0.4046,0.2217,0.0128,0.2251,
54,0.4593,0.3082,0.1922,0.1141,
55,0.4476,0.2634,0.0991,0.4681,
56,0.7576,0.6393,0.3541,0.1129,
57,0.0782,0.0538,0.0027,0.0145,
58,0.1973,0.408,0.2558,0.1297,
59,0.1864,0.4622,0.1617,0.0901,
60,0.0327,0.0345,0.0594,0.0325,
61,0.0184,0.0098,0.0258,0.0176,
62,0.0534,0.1489,0.0709,0.0306,
63,0.0134,0.0291,0.0011,0.0008,
64,0.2523,0.4623,0.3297,0.2346,
65,0.1883,0.5946,0.4204,0.1208,
66,0.0126,0.0025,0.0003,0.0006,
67,0.1621,0.0688,0.0289,0.0112,
68,0.0902,0.3456,0.2047,0.1415,
69,0.0401,0.0292,0.0361,0.048,
70,0.0014,0.0075,0.0016,0.0008,
71,0.0117,0.0036,0.0098,0.0089,
72,0.0026,0.005,0.0012,0.001,
74,0.0001,0,0,0,
75,0.1012,0.0047,0.0012,0.0004,
76,0.0006,0.0171,0.0048,0.0032,
77,0.009,0.0119,0.0082,0.0054,
78,0.0004,0,0,0,
79,0.0012,0.0022,0.0018,0.0009,
80,0.0011,0.0009,0.0001,0.0002,
81,0.0008,0.0002,0,0.0005,
82,0,0.0001,0.0015,0,
83,0.0239,0.0112,0.0008,0.0003,
84,0.0001,0.0013,0,0,
85,0.0021,0.002,0,0,
86,0.0696,0.0823,0.039,0.0388,
87,0.0002,0.002,0.0029,0.0003,
88,0.0003,0.0006,0,0,
89,0.0112,0.0031,0.0001,0.012,
90,0.0002,0.0049,0.001,0.0004,
91,0.0055,0.0008,0.0006,0,
92,0.0065,0.0008,0,0,
93,0.0035,0.0114,0.0006,0.0012,
94,0.1059,0.0134,0.0032,0.003,
95,0.0051,0.0036,0.0081,0.003,
96,0.0014,0.0005,0.0019,0.0006,
97,0.0506,0.0199,0.024,0.0354,
98,0.0358,0.1819,0.03,0.0665,
99,0.123,0.035,0.0345,0.0129,
100,0.0074,0.0036,0.0005,0.0008,
101,0.003,0.0023,0.0003,0.0008,
102,0.0853,0.0372,0.0532,0.0518,
103,0.0053,0.0098,0.0028,0.0002,
104,0.0276,0.0131,0.0055,0.0011,
105,0,0,0,0,
106,0.0067,0.0807,0.0036,0.0004,
107,0,0,0,0,
108,0.0823,0.0455,0.0035,0.0039,
109,0.0027,0.0004,0.0012,0,
110,0.0048,0.0015,0,0,
111,0.0015,0,0,0,
112,0.0485,0,0.0001,0,
113,0.1736,0.4374,0.2355,0.2146,
114,0.0003,0.0002,0,0,
115,0.0006,0,0,0,
116,0.0008,0.0002,0,0,
117,0.0183,0.0048,0.0002,0.0009,
118,0.0055,0.0101,0.0017,0.0015,
119,0.0874,0.1067,0.0057,0.0043,
120,0.0145,0.0038,0.001,0.0008,
121,0.1778,0.5088,0.3381,0.1358,
