Sample Name,Sex,Batch,Patient-Name                              ,Position,S-No      ,M-No      ,ListDate          ,Segmentation          ,El_size_mm            ,   CMx[mm],   CMy[mm], Ixx[mm^4], Iyy[mm^4], Ixy[mm^4],pMOI[mm^4],Ixx/Cy[mm^3],Iyy/Cx[mm^3],Imax[mm^4],Imin[mm^4],Angle[deg],Imax/Cmax[mm^3],Imin/Cmin[mm^3],BArea[mm^2],TArea[mm^2],  BA/TA[1],TRI-Ct.Th,    Mean1,  Mean1SD,    Mean2,  Mean2SD, DT-Ct.Th+, DT-Ct.Th.SD, DT-Ct.Sp+, DT-Ct.Sp.SD
1,M,1,MLB2016-16_SCAN8                          ,1,9486,16746,4/20/17 11:34,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.74634,1.47529,0.13708,0.08981,0.00393,0.22688,0.18087,0.14842,0.13741,0.08947,-85.29592,0.18056,0.14765,0.65591,0.65778,0.99715,0.179,1176.5505,133.7075,1217.8979,91.6442,0.1754,0.0166,  !,  :
2,M,1,MLB2016-16_SCAN1                          ,1,9479,16730,4/20/17 11:36,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,0.98229,0.95721,0.0904,0.06509,0.00549,0.15549,0.12715,0.10984,0.09154,0.06395,-78.27083,0.12807,0.10857,0.55197,0.5541,0.99615,0.167,1169.0328,138.8983,1213.2441,96.7455,0.1644,0.0224,  !,  :
3,M,1,MLB2016-16_SCAN4                          ,3,9482,16736,4/20/17 11:57,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.26896,1.26323,0.28606,0.18021,-0.05744,0.46627,0.31282,0.2517,0.31124,0.15503,66.32927,0.32264,0.23361,0.97487,0.97766,0.99714,0.228,1209.7538,137.0188,1244.2993,98.1775,0.2345,0.0485,  !,  :
4,M,1,MLB2016-16_SCAN11                         ,3,9489,16752,4/20/17 11:50,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.0412,0.97405,0.19451,0.10692,0.00961,0.30143,0.23602,0.18182,0.19556,0.10587,-83.80807,0.23549,0.17613,0.82152,0.82374,0.99731,0.216,1229.4429,155.7236,1270.9692,113.4813,0.2174,0.037,  !,  :
5,M,1,MLB2016-16_SCAN13                         ,3,9491,16756,4/20/17 11:52,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.12337,1.27606,0.29472,0.1202,-0.00558,0.41493,0.28295,0.18619,0.2949,0.12002,88.17245,0.28305,0.18525,0.79149,0.79417,0.99663,0.174,1152.5656,137.9138,1195.3448,99.6094,0.1756,0.0388,  !,  :
6,M,1,MLB2016-16_SCAN14                         ,1,9492,16760,4/20/17 11:42,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.14451,1.45953,0.15583,0.10596,-0.00424,0.26178,0.20305,0.14889,0.1562,0.10558,85.22049,0.20085,0.14645,0.74316,0.7466,0.9954,0.192,1157.9353,137.1084,1196.9557,98.3566,0.2032,0.064,0.0286,0.01
7,M,1,MLB2016-16_SCAN11                         ,2,9489,16752,4/20/17 11:44,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,0.95728,0.77912,0.1045,0.083,0.01079,0.1875,0.14997,0.13561,0.10898,0.07852,-67.46197,0.15504,0.12308,0.62916,0.63123,0.99671,0.185,1206.3529,147.3109,1251.3695,101.3994,0.1835,0.028,  !,  :
8,M,1,MLB2016-16_SCAN6                          ,4,9484,16740,4/20/17 12:05,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,0.96785,1.06371,0.07988,0.08952,0.01148,0.1694,0.12812,0.13474,0.09716,0.07225,-33.61422,0.14778,0.12323,0.57354,0.57549,0.99661,0.17,1202.415,143.7311,1248.8636,94.4186,0.1659,0.0185,  !,  :
9,M,1,MLB2016-16_SCAN5                          ,1,9483,16738,4/20/17 11:42,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.21437,1.34233,0.31571,0.19241,-0.02354,0.50812,0.32679,0.26547,0.32008,0.18803,79.54238,0.32902,0.26937,1.02072,1.02386,0.99694,0.224,1184.6947,137.9139,1217.6294,103.9053,0.2229,0.0366,  !,  :
10,M,1,MLB2016-16_SCAN6                          ,3,9484,16740,4/20/17 12:00,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.03445,1.00734,0.11933,0.09382,-0.0293,0.21315,0.17345,0.15258,0.13853,0.07462,56.76349,0.18653,0.14038,0.76655,0.76906,0.99674,0.235,1214.855,144.0891,1251.996,102.7418,0.2347,0.0385,  !,  :
