Sample Name,Sex,Batch,Patient-Name                              ,Position,S-No      ,M-No      ,ListDate          ,Segmentation          ,El_size_mm            ,   CMx[mm],   CMy[mm], Ixx[mm^4], Iyy[mm^4], Ixy[mm^4],pMOI[mm^4],Ixx/Cy[mm^3],Iyy/Cx[mm^3],Imax[mm^4],Imin[mm^4],Angle[deg],Imax/Cmax[mm^3],Imin/Cmin[mm^3],BArea[mm^2],TArea[mm^2],  BA/TA[1],TRI-Ct.Th,    Mean1,  Mean1SD,    Mean2,  Mean2SD, DT-Ct.Th+, DT-Ct.Th.SD, DT-Ct.Sp+, DT-Ct.Sp.SD
1,M,1,MLB2016-16_SCAN8                          ,1,9486,16746,4/20/17 11:33,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.7471,1.47518,0.14087,0.09255,0.00394,0.23341,0.18587,0.1531,0.1412,0.09221,-85.38857,0.18558,0.15239,0.68419,1.38906,0.49256,0.188,659.5303,516.2148,1214.0496,93.1656,0.1838,0.0163,  !,  :
2,M,1,MLB2016-16_SCAN1                          ,1,9479,16730,4/20/17 11:35,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,0.98386,0.95797,0.09315,0.06708,0.00559,0.16023,0.1311,0.11342,0.09429,0.06593,-78.39483,0.13192,0.11225,0.57708,1.14594,0.50359,0.176,672.5967,507.7128,1209.1272,98.1775,0.1722,0.0218,  !,  :
3,M,1,MLB2016-16_SCAN4                          ,3,9482,16736,4/20/17 11:57,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.26729,1.26295,0.2917,0.18424,-0.05841,0.47594,0.31906,0.25857,0.31733,0.15861,66.30446,0.32975,0.23916,1.00676,1.90646,0.52808,0.236,718.6873,527.7599,1241.6144,99.52,0.2418,0.0485,  !,  :
4,M,1,MLB2016-16_SCAN11                         ,3,9489,16752,4/20/17 11:49,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.04156,0.97349,0.19876,0.10954,0.00984,0.3083,0.24105,0.18628,0.19984,0.10846,-83.77974,0.24051,0.18012,0.85334,1.51765,0.56228,0.226,775.3385,524.1801,1267.0314,115.3608,0.2243,0.039,  !,  :
5,M,1,MLB2016-16_SCAN13                         ,3,9491,16756,4/20/17 11:51,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.1227,1.27349,0.30502,0.12458,-0.00602,0.4296,0.29342,0.19319,0.30522,0.12438,88.09316,0.29362,0.19197,0.83161,1.87159,0.44433,0.181,585.2483,517.9153,1190.2435,101.5784,0.182,0.037,  !,  :
6,M,1,MLB2016-16_SCAN14                         ,1,9492,16760,4/20/17 11:41,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.1493,1.45873,0.15998,0.10967,-0.00427,0.26965,0.20814,0.15498,0.16035,0.1093,85.22089,0.20595,0.15269,0.77473,1.50857,0.51356,0.199,674.8341,505.3859,1192.9285,100.1464,0.2078,0.0646,  !,  :
7,M,1,MLB2016-16_SCAN11                         ,2,9489,16752,4/20/17 11:43,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,0.95939,0.78081,0.10714,0.08539,0.01106,0.19253,0.15426,0.14024,0.11178,0.08075,-67.27024,0.15906,0.12721,0.6545,1.24646,0.52508,0.193,718.7768,521.2267,1246.7157,103.9053,0.1909,0.0285,  !,  :
8,M,1,MLB2016-16_SCAN6                          ,4,9484,16740,4/20/17 12:04,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,0.9675,1.06229,0.08236,0.09204,0.01173,0.1744,0.13229,0.13852,0.09989,0.07451,-33.799,0.15162,0.12739,0.59856,1.20679,0.49599,0.179,679.5775,525.8804,1245.1047,96.0297,0.1741,0.0188,  !,  :
9,M,1,MLB2016-16_SCAN5                          ,1,9483,16738,4/20/17 11:42,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.22002,1.34712,0.33026,0.19973,-0.02431,0.52999,0.33994,0.27756,0.33467,0.19532,79.78609,0.34188,0.28165,1.10156,2.03733,0.54069,0.2,726.1155,501.6269,1212.7966,106.2322,0.2214,0.0486,0.2698,0.0974
10,M,1,MLB2016-16_SCAN6                          ,3,9484,16740,4/20/17 11:59,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.03365,1.00796,0.12123,0.09538,-0.02981,0.21661,0.17633,0.15529,0.1408,0.07581,56.72296,0.18993,0.14293,0.79024,1.22083,0.6473,0.241,864.0294,485.6071,1248.8636,104.1737,0.2413,0.0403,  !,  :
11,M,1,MLB2016-16_SCAN1                          ,2,9479,16730,4/20/17 11:46,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.25872,1.00868,0.08941,0.09921,0.01939,0.18862,0.13583,0.14328,0.11431,0.07431,-37.90559,0.15606,0.13312,0.57974,1.29055,0.44922,0.163,608.9648,509.2341,1205.0999,93.7028,0.1584,0.0208,  !,  :
12,M,1,MLB2016-16_SCAN3                          ,4,9481,16734,4/20/17 12:03,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.1541,1.20581,0.15155,0.10242,0.00323,0.25396,0.20014,0.17043,0.15176,0.1022,-86.2519,0.20042,0.1706,0.71467,1.45294,0.49188,0.192,664.6315,523.8221,1228.4585,100.1464,0.1859,0.0126,  !,  :
13,M,1,MLB2016-16_SCAN9                          ,2,9487,16748,4/20/17 11:42,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.19465,0.84844,0.08781,0.05879,-0.00186,0.14659,0.13199,0.11187,0.08793,0.05867,86.33656,0.13054,0.11185,0.61346,1.04294,0.58821,0.204,785.6306,503.8644,1238.124,103.4578,0.2044,0.0281,  !,  :
14,M,1,MLB2016-16_SCAN4                          ,2,9482,16736,4/20/17 11:48,0.80 / 1 / 700.000000 ,0.0100 0.0100 0.0100  ,1.005,0.96712,0.07433,0.05915,-0.00757,0.13349,0.11669,0.10507,0.07746,0.05602,67.54151,0.11737,0.10214,0.49752,1.08153,0.46001,0.154,618.0934,510.0396,1207.2478,101.6678,0.1501,0.0178,  !,  :
