Mouse,Sex,Batch,Femur length (mm),BV/TV (%),BMD (mgHA/cm3),BS/BV (%),Conn.D. (1/mm3),SMI,Tb.N (1/mm),Tb.Th (mm),Tb.Sp (mm),Ct.Ar[mm2],Ma.Ar[mm2],Tt.Ar[mm2],Ct.Ar/Tt.Ar (%),Ct.Th (mm),Ct.TMD (mgHA/cm3),Cort. Porosity (%),pMOI[mm4],Imax[mm4],Imin[mm4]
1,M,1,15.78,7.08,120,38.41,30,1.988,1.22,0.067,0.865,0.684,0.705,1.389,49.26,0.184,1214,0.285,0.233,0.186,0.152
2,M,1,13.93,4.74,118,41.3,29,2.25,1.25,0.063,0.837,0.577,0.569,1.146,50.36,0.172,1209,0.385,0.16,0.132,0.112
3,M,1,15.78,13.69,203,46.94,121,2.094,3.63,0.055,0.281,1.007,0.9,1.906,52.81,0.242,1242,0.286,0.476,0.33,0.239
4,M,1,15.23,14.27,211,50.88,142,2.096,4.17,0.051,0.241,0.853,0.664,1.518,56.23,0.224,1267,0.269,0.308,0.241,0.18
5,M,1,14.53,17.02,218,48.41,155,1.763,4.5,0.052,0.221,0.832,1.04,1.872,44.43,0.182,1190,0.337,0.43,0.294,0.192
6,M,1,14.43,15.32,218,58.2,200,2.286,5.26,0.046,0.185,0.775,0.734,1.509,51.36,0.208,1193,0.46,0.27,0.206,0.153
7,M,1,14.68,6.75,155,61.25,54,3.221,3.77,0.044,0.266,0.655,0.592,1.246,52.51,0.191,1247,0.329,0.193,0.159,0.127
8,M,1,14.48,6.47,137,52.93,23,2.917,2.78,0.051,0.366,0.599,0.608,1.207,49.6,0.174,1245,0.339,0.174,0.152,0.127
9,M,1,15.23,24.03,289,45.49,246,1.588,5.71,0.056,0.161,1.102,0.936,2.037,54.07,0.221,1213,0.306,0.53,0.342,0.282
10,M,1,15.13,13.57,212,59.23,178,2.392,5.08,0.045,0.193,0.79,0.431,1.221,64.73,0.241,1249,0.326,0.217,0.19,0.143
11,M,1,15.03,2.96,104,61.8,24,2.411,1.65,0.04,0.611,0.58,0.711,1.291,44.92,0.158,1205,0.322,0.189,0.156,0.133
12,M,1,14.43,8.07,150,55.8,78,2.529,3.27,0.046,0.318,0.715,0.738,1.453,49.19,0.186,1228,0.33,0.254,0.2,0.171
13,M,1,14.23,3.66,111,70.57,25,3.425,2.98,0.041,0.339,0.613,0.429,1.043,58.82,0.204,1238,0.328,0.147,0.131,0.112
14,M,1,13.53,3.65,110,55.43,13,3.068,1.93,0.048,0.531,0.498,0.584,1.082,46,0.15,1207,0.403,0.133,0.117,0.102
15,F,1,14.03,13.28,221,54.44,117,2.701,4.83,0.05,0.204,0.69,0.477,1.167,59.13,0.212,1274,0.321,0.183,0.159,0.132
16,F,1,14.93,20.46,265,44.34,188,1.755,5.31,0.057,0.192,0.71,0.496,1.206,58.91,0.216,1262,0.282,0.196,0.168,0.132
17,F,1,15.03,23.83,301,44.66,259,1.66,5.73,0.057,0.169,1.041,0.79,1.83,56.85,0.24,1211,0.261,0.44,0.301,0.26
18,F,1,14.68,22.37,267,50.07,301,1.499,5.89,0.05,0.162,0.792,0.719,1.511,52.41,0.196,1209,0.297,0.288,0.219,0.177
19,F,1,15.78,18.95,256,43.24,137,2.246,4.86,0.062,0.209,0.824,0.602,1.426,57.76,0.226,1274,0.27,0.273,0.218,0.172
20,F,1,15.13,14.21,210,45.97,113,1.89,3.64,0.052,0.285,0.714,0.589,1.304,54.78,0.205,1262,0.274,0.215,0.168,0.164
21,F,1,16.28,17.7,251,45.53,137,2.403,4.74,0.061,0.21,1.019,0.869,1.888,53.97,0.238,1257,0.28,0.444,0.304,0.256
22,F,1,14,10.02,168,42.39,78,1.721,2.03,0.058,0.54,0.724,0.667,1.392,52.05,0.197,1247,0.325,0.244,0.193,0.159
23,F,1,14.83,12.29,200,51.48,96,2.383,4.23,0.051,0.238,0.699,0.414,1.113,62.81,0.227,1248,0.304,0.175,0.162,0.12
24,F,1,15.73,7.92,169,54.11,49,3.163,3.36,0.055,0.304,0.873,0.787,1.66,52.58,0.218,1247,0.235,0.348,0.254,0.201
25,F,1,13.68,5.83,132,50.05,32,2.437,2.34,0.052,0.439,0.6,0.746,1.346,44.56,0.161,1178,0.312,0.206,0.159,0.129
26,F,1,14.68,37.86,394,32.82,213,0.152,6.4,0.069,0.146,1.026,0.75,1.776,57.76,0.252,1258,0.199,0.423,0.292,0.234
27,F,1,14.13,11.08,189,47.72,76,2.148,3.09,0.053,0.33,0.617,0.666,1.284,48.09,0.171,1239,0.387,0.198,0.168,0.132
28,F,1,14.63,9.2,171,40.89,38,2.61,2.9,0.063,0.361,0.635,0.446,1.082,58.74,0.201,1231,0.324,0.158,0.144,0.113
29,M,1,14.73,14.51,210,51.42,143,2.267,4.28,0.052,0.236,0.949,0.931,1.88,50.47,0.223,1244,0.332,0.443,0.297,0.226
30,M,1,15.43,11.14,192,50.46,92,2.269,3.37,0.05,0.305,0.774,0.785,1.559,49.64,0.2,1241,0.3,0.296,0.219,0.183
31,M,1,15.53,9.75,159,52.68,99,2.268,3.11,0.051,0.329,0.697,0.876,1.573,44.34,0.171,1191,0.28,0.276,0.209,0.165
32,M,1,15.18,14.92,213,51.89,150,2.251,4.46,0.051,0.219,1.074,0.893,1.967,54.59,0.254,1240,0.296,0.496,0.338,0.255
33,M,1,14.78,18.4,235,50.65,177,1.559,5.14,0.049,0.188,0.816,1.035,1.851,44.1,0.186,1175,0.331,0.382,0.259,0.219
34,M,1,15.1,17.08,226,47.78,164,1.79,4.14,0.053,0.242,0.933,0.935,1.868,49.94,0.216,1230,0.314,0.428,0.286,0.242
35,M,1,15.58,6.36,134,49.01,31,2.428,2.29,0.055,0.443,0.926,1.131,2.057,45.03,0.198,1215,0.325,0.467,0.28,0.264
36,M,1,14.68,24.2,287,43.44,205,1.368,5.48,0.055,0.171,0.907,0.912,1.819,49.89,0.217,1222,0.295,0.427,0.303,0.198
37,M,1,14.38,21.13,265,40.01,116,1.533,4.61,0.063,0.206,0.948,0.986,1.934,49.03,0.216,1196,0.268,0.473,0.325,0.232
38,M,1,16.14,8.35,160,68.7,93,2.774,4.02,0.041,0.246,0.994,0.808,1.803,55.17,0.203,1214,0.901,0.434,0.297,0.232
39,M,1,15.38,15.52,226,41.66,85,2.003,3.86,0.062,0.259,0.859,0.639,1.498,57.34,0.228,1242,0.26,0.307,0.25,0.185
40,M,1,15.23,27.08,318,35.29,126,1.15,5.2,0.07,0.187,0.984,0.79,1.775,55.46,0.234,1200,0.418,0.419,0.303,0.23
41,M,1,16.04,12.11,197,51.63,97,2.684,4.12,0.057,0.239,1.063,0.967,2.029,52.37,0.254,1286,0.222,0.512,0.35,0.268
42,M,1,15.88,8.76,156,61.9,86,2.721,3.94,0.045,0.253,0.752,0.895,1.647,45.64,0.184,1203,0.287,0.32,0.237,0.17
43,F,1,14.33,19.27,260,48.1,200,1.987,5.18,0.053,0.19,0.779,0.64,1.419,54.9,0.215,1272,0.292,0.26,0.202,0.166
44,F,1,15.53,21.62,282,41.91,156,1.562,4.86,0.06,0.212,0.92,0.626,1.546,59.52,0.238,1289,0.262,0.322,0.247,0.193
45,F,1,15.63,8.41,165,39.58,34,1.904,1.83,0.065,0.572,0.937,0.596,1.534,61.11,0.255,1296,0.258,0.335,0.25,0.188
46,F,1,13.88,12.51,198,45.13,62,2.235,3.63,0.058,0.277,0.663,0.662,1.325,50.01,0.179,1244,0.252,0.217,0.173,0.137
47,F,1,14.63,20.09,263,43.94,163,1.733,4.67,0.058,0.21,0.65,0.487,1.136,57.18,0.203,1280,0.291,0.173,0.157,0.124
48,F,1,13.89,9.12,178,48.25,74,2.345,2.92,0.055,0.348,0.744,0.526,1.27,58.6,0.217,1238,0.269,0.217,0.174,0.146
49,F,1,15.68,13.92,188,44.16,120,2.231,3.55,0.059,0.291,0.906,0.862,1.768,51.26,0.218,1307,0.247,0.381,0.266,0.239
50,F,1,14.63,26.25,309,41,258,1.319,5.82,0.059,0.174,0.745,0.463,1.208,61.66,0.226,1245,0.224,0.203,0.177,0.14
51,F,1,14.83,15.54,225,39.66,86,2.038,3.7,0.064,0.279,0.819,0.694,1.513,54.16,0.212,1244,0.231,0.295,0.229,0.181
52,F,1,14.68,29.06,319,39.75,278,1.02,5.94,0.061,0.17,0.924,0.736,1.659,55.66,0.225,1228,0.332,0.371,0.276,0.203
53,F,1,15.98,24.8,294,40.69,246,1.524,5.35,0.063,0.188,1.003,0.852,1.856,54.08,0.235,1268,0.23,0.442,0.303,0.251
54,F,1,15.23,46.84,452,28.95,238,-0.783,7.37,0.074,0.126,1.075,0.92,1.996,53.88,0.208,1177,0.35,0.499,0.327,0.262
55,F,1,15.18,17.49,244,42.21,122,1.945,4.06,0.061,0.248,0.949,0.718,1.667,56.92,0.241,1279,0.235,0.368,0.274,0.223
56,F,1,15.63,37.11,424,26.79,116,0.711,5.46,0.09,0.179,1.081,0.925,2.006,53.88,0.247,1275,0.294,0.551,0.368,0.256
57,M,2,14.68,4.94,124,55.35,42,2.679,2.39,0.049,0.428,0.607,0.654,1.261,48.16,0.174,1239,0.294,0.185,0.101,0.084
58,M,2,14.66,6.01,136,69.95,52,3.316,3.873,0.041,0.258,0.729,0.695,1.424,51.18,0.196,1215,0.301,0.249,0.143,0.107
59,M,2,14.55,9.8,182,61.53,102,2.915,4.422,0.046,0.228,0.77,0.532,1.301,59.15,0.226,1242,0.241,0.233,0.148,0.085
60,M,2,15.03,6.47,132,58.53,48,2.552,2.46,0.045,0.414,0.693,0.732,1.425,48.65,0.181,1182,0.404,0.252,0.168,0.085
61,M,2,14.53,17.8,244,50.05,179,2.026,4.875,0.052,0.201,0.676,0.695,1.371,49.33,0.188,1175,0.352,0.235,0.151,0.084
62,M,2,14.43,14.19,216,54.81,160,2.166,4.54,0.048,0.221,0.86,0.642,1.502,57.24,0.232,1224,0.314,0.304,0.19,0.114
63,M,2,13.83,5.55,123,64.02,43,2.952,2.954,0.044,0.348,0.567,0.706,1.274,44.53,0.156,1204,0.446,0.18,0.102,0.077
64,M,2,13.68,11.63,178,63.81,146,2.41,4.657,0.041,0.211,0.618,0.911,1.529,40.41,0.157,1130,0.668,0.254,0.152,0.103
65,M,2,15.33,11.01,171,60.11,128,2.336,4.1,0.044,0.245,0.614,0.883,1.497,41,0.154,1186,0.361,0.238,0.145,0.093
66,M,2,15.73,12.6,192,55.8,126,2.345,4.578,0.046,0.217,0.785,0.637,1.423,55.19,0.211,1243,0.246,0.272,0.183,0.09
67,M,2,13.83,17.62,235,54.01,211,2.032,5.267,0.048,0.185,0.709,0.86,1.569,45.19,0.183,1203,0.321,0.296,0.201,0.094
68,M,2,15.68,10.46,167,57.61,105,2.464,3.852,0.047,0.261,1.068,1.144,2.212,48.29,0.229,1242,0.253,0.591,0.371,0.22
69,M,2,15.27,15.03,206,51.3,132,2.056,4.538,0.05,0.218,0.83,0.8,1.629,50.93,0.214,1248,0.259,0.324,0.18,0.145
70,M,2,14.83,16.11,225,51.95,162,2.046,4.702,0.051,0.205,0.651,0.703,1.353,48.09,0.177,1214,0.333,0.219,0.132,0.087
71,M,2,15.1,9.31,175,61.71,84,2.907,4.273,0.045,0.234,0.805,0.475,1.28,62.92,0.239,1263,0.276,0.23,0.14,0.09
72,M,2,14.93,14.77,210,51.91,136,2.416,4.676,0.051,0.213,0.784,0.789,1.573,49.87,0.198,1202,0.364,0.299,0.176,0.124
73,F,2,15.03,8.9,171,55.73,77,2.89,3.506,0.051,0.289,0.663,0.629,1.292,51.35,0.189,1220,0.273,0.204,0.114,0.09
74,F,2,14.78,24.84,294,40.43,217,1.291,5.14,0.06,0.198,0.855,0.884,1.739,49.17,0.203,1225,0.303,0.363,0.214,0.15
75,F,2,15.88,17.03,238,40.39,98,2.21,4.016,0.066,0.251,0.74,0.641,1.381,53.57,0.201,1257,0.332,0.245,0.153,0.092
76,F,2,15.23,12.33,206,49.4,84,2.514,3.948,0.055,0.255,0.925,0.495,1.42,65.15,0.26,1251,0.277,0.283,0.161,0.123
77,F,2,14.73,25.06,297,39.77,213,1.481,5.088,0.062,0.196,0.748,0.704,1.453,51.53,0.193,1200,0.3,0.259,0.148,0.111
78,F,2,15.58,7.11,144,48.12,50,2.708,2.91,0.054,0.35,0.691,0.77,1.461,47.31,0.18,1213,0.315,0.251,0.154,0.096
79,F,2,15.13,26.33,317,40.09,182,1.313,5.586,0.062,0.17,0.804,0.776,1.58,50.89,0.192,1249,0.235,0.303,0.176,0.127
