Sample Name,Sex,Batch,SampName,Position,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,VOX-TV,VOX-BV,VOX-BV/TV,Conn-Dens.,TRI-SMI,DT-Tb.N,DT-Tb.Th,DT-Tb.Sp,DT-Tb.(1/N).SD,DT-Tb.Th.SD,DT-Tb.Sp.SD,Mean1,Mean2,Mean3,Mean4,Mean5,Mean-Units,TRI-TV,TRI-BV,TRI-BV/TV,TRI-BS,TRI-BS/BV,TRI-Tb.N,TRI-Tb.Th,TRI-Tb.Sp,TRI-DA,TRI-|H1|,TRI-|H2|,TRI-|H3|,TRI-H1x,TRI-H1y,TRI-H1z,TRI-H2x,TRI-H2y,TRI-H2z,TRI-H3x,TRI-H3y,TRI-H3z,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
1,M,1,MLB2016-16_scan8,1,9486,16747,10/19/16 9:03,3/8/17 9:22,C0027025,,,,Custom,E3_Imax,200,B16747,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,2.419,0.1714,0.0708,29.7643,1.9883,1.2198,0.067,0.8647,0.4193,0.0197,0.4024,119.5988,902.1548,-,-,-,[mg HA/ccm],2.3838,0.1664,0.0698,6.3911,38.4134,1.3405,0.0521,0.6939,1.3884,0.6695,0.9296,0.701,0.5104,0.4233,0.0928,-0.0647,-0.1235,0.9191,-0.4511,0.5351,0.0402,0.01,0.01,0.01,172,216,156,555,1104,226,622,Daniel Brooks,,0,TP0:00016747_RAW,RAW310,DK0:[MICROCT1.DATA.00009486.00016747],,4238
2,M,1,MLB2016-16_scan1,1,9479,16731,10/13/16 9:04,3/8/17 9:15,C0027009,,,,Custom,E3_Imax,200,B16731,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,2.1388,0.1014,0.0474,28.7543,2.2501,1.252,0.0633,0.8371,0.3372,0.0247,0.3199,118.0774,870.7416,-,-,-,[mg HA/ccm],2.1089,0.0958,0.0454,3.9579,41.2967,0.9384,0.0484,1.0173,1.425,0.9064,1.2916,1.0875,0.8138,-0.3404,0.2084,-0.2719,0.1195,1.257,-0.4206,-1.0029,0.0043,0.01,0.01,0.01,180,204,137,492,1082,274,637,Daniel Brooks,,0,TP0:00016731_RAW,RAW309,DK0:[MICROCT1.DATA.00009479.00016731],,4238
3,M,1,MLB2016-16_scan4,3,9482,16737,10/17/16 11:01,3/8/17 9:48,C0027015,,,,Custom,E3_Imax,200,B16737,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,3.1708,0.4341,0.1369,121.4214,2.0938,3.6322,0.0554,0.2807,0.1233,0.0182,0.1324,203.4569,~  862.686,-,-,-,[mg HA/ccm],3.1286,0.4203,0.1343,19.7276,46.9371,3.1528,0.0426,0.2746,1.3253,0.2777,0.368,0.3225,0.0698,-0.268,-0.0206,0.0695,-0.0097,0.3612,-0.3062,-0.0841,0.0566,0.01,0.01,0.01,188,212,156,1038,407,246,637,Daniel Brooks,,0,TP0:00016737_RAW,RAW309,DK0:[MICROCT1.DATA.00009482.00016737],,4238
4,M,1,MLB2016-16_scan11,3,9489,16753,10/25/16 9:53,3/8/17 9:54,C0027031,,,,Custom,E3_Imax,200,B16753,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,2.6456,0.3774,0.1427,142.3092,2.096,4.1677,0.0508,0.2409,0.0974,0.0175,0.0984,211.1536,~  849.620,-,-,-,[mg HA/ccm],2.607,0.3624,0.139,18.4385,50.8763,3.5363,0.0393,0.2435,1.3963,0.2449,0.342,0.2823,0.1775,-0.1688,0.0027,-0.0013,-0.0068,-0.3419,0.1946,0.2045,-0.0048,0.01,0.01,0.01,180,220,150,1043,387,268,647,Daniel Brooks,,0,TP0:00016753_RAW,RAW310,DK0:[MICROCT1.DATA.00009489.00016753],,4238
5,M,1,MLB2016-16_scan13,3,9491,16757,10/25/16 15:05,3/8/17 9:57,C0027035,,,,Custom,E3_Imax,200,B16757,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,3.0368,0.5167,0.1702,155.4277,1.7629,4.5048,0.0517,0.2207,0.0883,0.0159,0.0875,217.9553,~  846.935,-,-,-,[mg HA/ccm],2.9991,0.5038,0.168,24.3888,48.4102,4.066,0.0413,0.2046,1.3406,0.22,0.295,0.2377,0.1013,-0.1948,-0.0147,0.031,-0.006,0.2933,-0.2096,-0.1104,0.0199,0.01,0.01,0.01,192,224,143,995,320,263,642,Daniel Brooks,,0,TP0:00016757_RAW,RAW310,DK0:[MICROCT1.DATA.00009491.00016757],,4238
6,M,1,MLB2016-16_scan14,1,9492,16761,11/9/16 9:24,3/8/17 9:29,C0027039,,,,Custom,E3_Imax,200,B16761,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,2.3432,0.3591,0.1532,199.7276,2.2856,5.2556,0.0458,0.1846,0.0585,0.0135,0.0586,217.5078,~  833.779,-,-,-,[mg HA/ccm],2.3099,0.3427,0.1483,19.9427,58.2002,4.3169,0.0344,0.1973,1.368,0.2036,0.2785,0.2281,0.0713,-0.1892,-0.0237,0.0416,-0.0187,0.2748,-0.2109,-0.0828,0.0263,0.01,0.01,0.01,168,212,142,559,1160,254,637,Daniel Brooks,,0,TP0:00016761_RAW,RAW310,DK0:[MICROCT1.DATA.00009492.00016761],,4238
7,M,1,MLB2016-16_scan11,2,9489,16753,10/25/16 9:53,3/8/17 9:41,C0027031,,,,Custom,E3_Imax,200,B16753,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,1.8501,0.1249,0.0675,53.5112,3.2205,3.7674,0.0439,0.2663,0.0808,0.0149,0.0806,154.8604,~  850.515,-,-,-,[mg HA/ccm],1.8212,0.113,0.0621,6.9224,61.2532,1.9005,0.0327,0.4935,1.208,0.4768,0.5759,0.5389,0.44,0.1828,0.0165,-0.02,-0.0037,0.5756,-0.2066,0.4977,-0.004,0.01,0.01,0.01,168,192,145,524,402,273,647,Daniel Brooks,,0,TP0:00016753_RAW,RAW310,DK0:[MICROCT1.DATA.00009489.00016753],,4238
8,M,1,MLB2016-16_scan6,4,9484,16741,10/18/16 10:18,3/8/17 10:04,C0027019,,,,Custom,E3_Imax,200,B16741,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,2.1105,0.1366,0.0647,23.2176,2.9165,2.7829,0.0512,0.3664,0.1515,0.0201,0.1501,136.8716,~  872.263,-,-,-,[mg HA/ccm],2.0774,0.1275,0.0614,6.7493,52.9275,1.6244,0.0378,0.5778,1.3162,0.5517,0.7262,0.6009,0.5399,0.1101,0.0284,0.0426,-0.0219,-0.7246,-0.1187,0.5885,-0.0248,0.01,0.01,0.01,192,172,143,1065,1069,236,627,Daniel Brooks,,0,TP0:00016741_RAW,RAW310,DK0:[MICROCT1.DATA.00009484.00016741],,4238
9,M,1,MLB2016-16_scan5,1,9483,16739,10/17/16 12:27,3/8/17 9:19,C0027017,,,,Custom,E3_Imax,200,B16739,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,2.9476,0.7082,0.2403,245.9586,1.5879,5.7103,0.0555,0.1606,0.0517,0.0155,0.0494,288.6574,~  886.403,-,-,-,[mg HA/ccm],2.9083,0.6939,0.2386,31.5671,45.4892,5.4271,0.044,0.1403,1.4024,0.1613,0.2262,0.1798,0.0788,-0.1396,0.0175,-0.01,0.0226,0.2248,0.1567,0.0881,-0.0019,0.01,0.01,0.01,188,236,150,486,1065,266,647,Daniel Brooks,,0,TP0:00016739_RAW,RAW309,DK0:[MICROCT1.DATA.00009483.00016739],,4238
10,M,1,MLB2016-16_scan6,3,9484,16741,10/18/16 10:18,3/8/17 9:50,C0027019,,,,Custom,E3_Imax,200,B16741,HR_20mm_200it_1200BHC,0.8,1,394,2,6519,1.9007,0.258,0.1357,177.5655,2.3924,5.0794,0.0446,0.1933,0.059,0.0137,0.0566,212.0486,~  827.604,-,-,-,[mg HA/ccm],1.8697,0.2436,0.1303,14.4301,59.2297,3.8589,0.0338,0.2254,1.2777,0.2327,0.2973,0.2578,0.1933,-0.1281,0.0195,-0.0128,-0.0634,-0.2902,0.1431,0.2081,-0.0518,0.01,0.01,0.01,180,192,149,1044,427,228,627,Daniel Brooks,,0,TP0:00016741_RAW,RAW310,DK0:[MICROCT1.DATA.00009484.00016741],,4238
